party,result,council,region
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",5.88,Козятинська міська рада,Вінницька обл.
"Політична партія ""КОНКРЕТНИХ СПРАВ""",5.88,Козятинська міська рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" ",11.54,Ладижинська міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",7.69,Ладижинська міська рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Ладижинська міська рада,Вінницька обл.
Радикальна партія Олега Ляшка,8.82,Могилів-Подільська міська рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Могилів-Подільська міська рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Олександрійська міська рада,Кіровоградська обл.
"Політична Партія ""Опозиційний блок""",14.71,Світловодська міська рада,Кіровоградська обл.
"Політична Партія ""Опозиційний блок""",47.06,Токмацька міська рада,Запорізька обл.
політична партія Єдиний Центр,47.22,Мукачівська міська рада,Закарпатська обл.
Радикальна партія Олега Ляшка,5.56,Сєвєродонецька міська рада,Луганська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Сєвєродонецька міська рада,Луганська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Жмеринська міська рада,Вінницька обл.
Радикальна партія Олега Ляшка,5.88,Жмеринська міська рада,Вінницька обл.
"Партія ""Відродження""",25.0,Ужгородська міська рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",20.59,Знам'янська міська рада,Кіровоградська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Кіровоградська міська рада,Кіровоградська обл.
"Політична партія ""Наш край""",23.53,Обухівська міська рада,Київська обл.
Радикальна партія Олега Ляшка,3.85,Ладижинська міська рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",22.22,Олександрійська міська рада,Кіровоградська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",13.89,Олександрійська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Олександрійська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",14.71,Світловодська міська рада,Кіровоградська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Світловодська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Світловодська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Токмацька міська рада,Запорізька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Токмацька міська рада,Запорізька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Токмацька міська рада,Запорізька обл.
"Партія ""Відродження""",25.0,Мукачівська міська рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Мукачівська міська рада,Закарпатська обл.
"""КМКС"" Партія угорців України",8.33,Мукачівська міська рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Жмеринська міська рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Ужгородська міська рада,Закарпатська обл.
"Політична партія ""ПАТРІОТ""",13.89,Ужгородська міська рада,Закарпатська обл.
політична партія Єдиний Центр,8.33,Ужгородська міська рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Знам'янська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Знам'янська міська рада,Кіровоградська обл.
"Політична партія ""Сила людей""",11.76,Знам'янська міська рада,Кіровоградська обл.
"Політична партія ""Наш край""",16.67,Кіровоградська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.29,Кіровоградська міська рада,Кіровоградська обл.
"Політична Партія ""Опозиційний блок""",11.9,Кіровоградська міська рада,Кіровоградська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.71,Обухівська міська рада,Київська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Обухівська міська рада,Київська обл.
Радикальна партія Олега Ляшка,11.11,Олександрійська міська рада,Кіровоградська обл.
"Політична партія ""Сила людей""",8.33,Олександрійська міська рада,Кіровоградська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.76,Світловодська міська рада,Кіровоградська обл.
Радикальна партія Олега Ляшка,8.82,Світловодська міська рада,Кіровоградська обл.
Радикальна партія Олега Ляшка,8.82,Токмацька міська рада,Запорізька обл.
"Політична партія ""Наш край""",5.88,Токмацька міська рада,Запорізька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Мукачівська міська рада,Закарпатська обл.
"Політична партія ""Наш край""",8.33,Ужгородська міська рада,Закарпатська обл.
"Політична партія ""Європейська партія України""",8.33,Ужгородська міська рада,Закарпатська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Ужгородська міська рада,Закарпатська обл.
"Партія ""Відродження""",8.82,Знам'янська міська рада,Кіровоградська обл.
Радикальна партія Олега Ляшка,8.82,Знам'янська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Знам'янська міська рада,Кіровоградська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",9.52,Кіровоградська міська рада,Кіровоградська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.14,Кіровоградська міська рада,Кіровоградська обл.
"Політична партія ""Рідне місто""",7.14,Кіровоградська міська рада,Кіровоградська обл.
"Політична партія ""Сила людей""",11.76,Обухівська міська рада,Київська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Обухівська міська рада,Київська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Обухівська міська рада,Київська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Олександрійська міська рада,Кіровоградська обл.
"Політична Партія ""Опозиційний блок""",26.92,Южненська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Світловодська міська рада,Кіровоградська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Світловодська міська рада,Кіровоградська обл.
Партія Пенсіонерів України,8.82,Світловодська міська рада,Кіровоградська обл.
"Політична Партія ""Опозиційний блок""",26.47,Котовська міська рада,Одеська обл.
"Політична Партія ""Опозиційний блок""",25.0,Іллічівська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",77.78,Ізмаїльська міська рада,Одеська обл.
"Політична Партія ""Опозиційний блок""",35.29,Білгород-Дністровська міська рада,Одеська обл.
"Політична партія ""КОНКРЕТНИХ СПРАВ""",23.08,Теплодарська міська рада,Одеська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Ужгородська міська рада,Закарпатська обл.
"""КМКС"" Партія угорців України",5.56,Ужгородська міська рада,Закарпатська обл.
"Політична партія ""Рідне місто""",30.56,Шосткинська міська рада,Сумська обл.
Партія Пенсіонерів України,5.88,Знам'янська міська рада,Кіровоградська обл.
"Політична партія ""Воля""",5.88,Знам'янська міська рада,Кіровоградська обл.
"Політична партія ""За Україну!""",17.65,Роменська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,7.14,Кіровоградська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",4.76,Кіровоградська міська рада,Кіровоградська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Обухівська міська рада,Київська обл.
Радикальна партія Олега Ляшка,5.88,Обухівська міська рада,Київська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Южненська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Южненська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Котовська міська рада,Одеська обл.
"Партія ""Відродження""",17.65,Котовська міська рада,Одеська обл.
"Партія ""Відродження""",25.0,Іллічівська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Іллічівська міська рада,Одеська обл.
"Політична Партія ""Опозиційний блок""",22.22,Ізмаїльська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Білгород-Дністровська міська рада,Одеська обл.
"Політична партія ""ДОВІРЯЙ ДІЛАМ""",11.76,Білгород-Дністровська міська рада,Одеська обл.
"Політична Партія ""Опозиційний блок""",19.23,Теплодарська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Теплодарська міська рада,Одеська обл.
Народна Партія,15.38,Теплодарська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Шосткинська міська рада,Сумська обл.
"Політична партія ""Наш край""",11.11,Шосткинська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,17.65,Роменська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Роменська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",14.71,Роменська міська рада,Сумська обл.
Аграрна партія України,11.54,Южненська міська рада,Одеська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",7.69,Южненська міська рада,Одеська обл.
"Політична партія ""Наш край""",7.69,Южненська міська рада,Одеська обл.
"Політична партія ""Наш край""",8.82,Котовська міська рада,Одеська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Котовська міська рада,Одеська обл.
Радикальна партія Олега Ляшка,8.82,Котовська міська рада,Одеська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.11,Іллічівська міська рада,Одеська обл.
Молодіжна партія України,8.33,Іллічівська міська рада,Одеська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Іллічівська міська рада,Одеська обл.
"Політична партія ""Наш край""",8.82,Білгород-Дністровська міська рада,Одеська обл.
"Партія ""Відродження""",8.82,Білгород-Дністровська міська рада,Одеська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Білгород-Дністровська міська рада,Одеська обл.
Українська морська партія Сергія Ківалова,15.38,Теплодарська міська рада,Одеська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Теплодарська міська рада,Одеська обл.
"Політична Партія ""Опозиційний блок""",11.11,Шосткинська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,8.33,Шосткинська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.33,Шосткинська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Роменська міська рада,Сумська обл.
"Партія ""Відродження""",11.76,Роменська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.82,Роменська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Миргородська міська рада,Полтавська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Лубенська міська рада,Полтавська обл.
"Партія ""Відродження""",7.69,Южненська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Охтирська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Котовська міська рада,Одеська обл.
"Політична партія ""Громадянська позиція""",20.59,Лебединська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",43.33,міська міська рада,"Україна, обл."
"ПОЛІТИЧНА ПАРТІЯ ""ПОРУЧ""",16.67,Кременчуцька міська рада,Полтавська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",50.0,Комсомольська міська рада,Полтавська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.05,Полтавська міська рада,Полтавська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Шосткинська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Шосткинська міська рада,Сумська обл.
"Партія ""Відродження""",11.76,Миргородська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Миргородська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Миргородська міська рада,Полтавська обл.
"Політична партія ""Рідне місто""",11.76,Миргородська міська рада,Полтавська обл.
Радикальна партія Олега Ляшка,11.76,Лубенська міська рада,Полтавська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Лубенська міська рада,Полтавська обл.
"Політична Партія ""Опозиційний блок""",11.76,Лубенська міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",11.76,Лубенська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Охтирська міська рада,Сумська обл.
"Партія ""Відродження""",11.76,Охтирська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,11.76,Охтирська міська рада,Сумська обл.
"Політична Партія ""Опозиційний блок""",8.82,Охтирська міська рада,Сумська обл.
"Політична партія ""Сила людей""",8.82,Охтирська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Лебединська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Лебединська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,14.71,Лебединська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",11.76,Лебединська міська рада,Сумська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",18.33,міська міська рада,"Україна, обл."
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.17,міська міська рада,"Україна, обл."
"Українська партія ""Єдність""",12.5,міська міська рада,"Україна, обл."
"політична партія Всеукраїнське об’єднання ""Свобода""",11.67,міська міська рада,"Україна, обл."
"Політична Партія ""Опозиційний блок""",16.67,Кременчуцька міська рада,Полтавська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.29,Кременчуцька міська рада,Полтавська обл.
"Політична партія ""Рідне місто""",14.29,Кременчуцька міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.9,Кременчуцька міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",9.52,Кременчуцька міська рада,Полтавська обл.
"Політична Партія ""Опозиційний блок""",17.65,Комсомольська міська рада,Полтавська обл.
"Політична партія ""Наш край""",8.82,Комсомольська міська рада,Полтавська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Комсомольська міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Комсомольська міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",5.88,Комсомольська міська рада,Полтавська обл.
"Політична партія ""Совість України""",16.67,Полтавська міська рада,Полтавська обл.
"Політична партія ""Рідне місто""",16.67,Полтавська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",14.29,Полтавська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.9,Полтавська міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",11.76,Миргородська міська рада,Полтавська обл.
Радикальна партія Олега Ляшка,8.82,Миргородська міська рада,Полтавська обл.
"Політична партія Всеукраїнське об’єднання ""Громада""",8.82,Миргородська міська рада,Полтавська обл.
"Політична Партія ""Опозиційний блок""",8.82,Миргородська міська рада,Полтавська обл.
"Партія ""Відродження""",8.82,Лубенська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Лубенська міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Лубенська міська рада,Полтавська обл.
"Політична партія ""Рідне місто""",5.88,Лубенська міська рада,Полтавська обл.
Народна Партія,8.82,Охтирська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Охтирська міська рада,Сумська обл.
"Політична Партія ""Опозиційний блок""",8.82,Лебединська міська рада,Сумська обл.
"Партія ""Відродження""",5.88,Лебединська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,9.52,Кременчуцька міська рада,Полтавська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.14,Кременчуцька міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",11.9,Полтавська міська рада,Полтавська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",9.52,Полтавська міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Лубенська міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",20.59,Кузнецовська міська рада,Рівненська обл.
"Політична партія ""ДОВІРЯЙ ДІЛАМ""",42.19,Одеська міська рада,Одеська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",22.22,Конотопська міська рада,Сумська обл.
"Політична партія ""Воля народу"" ",38.24,Глухівська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",42.86,Сумська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Гадяцька міська рада,Полтавська обл.
"Політична партія ""Воля""",19.23,Яремчанська міська рада,Івано-Франківська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",20.59,Коломийська міська рада,Івано-Франківська обл.
"Політична партія ""Сила людей""",17.65,Кузнецовська міська рада,Рівненська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Кузнецовська міська рада,Рівненська обл.
Українська Народна Партія,11.76,Кузнецовська міська рада,Рівненська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Кузнецовська міська рада,Рівненська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Кузнецовська міська рада,Рівненська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.88,Одеська міська рада,Одеська обл.
"Політична Партія ""Опозиційний блок""",18.75,Одеська міська рада,Одеська обл.
Українська морська партія Сергія Ківалова,9.38,Одеська міська рада,Одеська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.81,Одеська міська рада,Одеська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Конотопська міська рада,Сумська обл.
Народна Партія,13.89,Конотопська міська рада,Сумська обл.
"Політична партія ""Воля народу"" ",11.11,Конотопська міська рада,Сумська обл.
"Політична партія ""Рідне місто""",11.11,Конотопська міська рада,Сумська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",17.65,Глухівська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Глухівська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Глухівська міська рада,Сумська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.82,Глухівська міська рада,Сумська обл.
Радикальна партія Олега Ляшка,5.88,Глухівська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Сумська міська рада,Сумська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",9.52,Сумська міська рада,Сумська обл.
"Політична Партія ""Опозиційний блок""",9.52,Сумська міська рада,Сумська обл.
"Політична партія ""За Україну!""",9.52,Сумська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",7.14,Сумська міська рада,Сумська обл.
"Політична партія ""Рідне місто""",19.23,Гадяцька міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",15.38,Гадяцька міська рада,Полтавська обл.
"Партія ""Відродження""",11.54,Гадяцька міська рада,Полтавська обл.
Радикальна партія Олега Ляшка,11.54,Гадяцька міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",15.38,Яремчанська міська рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Яремчанська міська рада,Івано-Франківська обл.
Радикальна партія Олега Ляшка,11.54,Яремчанська міська рада,Івано-Франківська обл.
"Політична партія ""Сила людей""",11.54,Яремчанська міська рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Коломийська міська рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Коломийська міська рада,Івано-Франківська обл.
політична партія Народний Рух України,8.82,Коломийська міська рада,Івано-Франківська обл.
Українська Народна Партія,8.82,Коломийська міська рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Коломийська міська рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Кузнецовська міська рада,Рівненська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Конотопська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Конотопська міська рада,Сумська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Конотопська міська рада,Сумська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",5.88,Глухівська міська рада,Сумська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Гадяцька міська рада,Полтавська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Гадяцька міська рада,Полтавська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",7.69,Яремчанська міська рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Яремчанська міська рада,Івано-Франківська обл.
